FID,NGAID,SRCLNKID,METLNKID,FEATTYPE,SECCLASS,NAME,AREA_,PHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGPHONE,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,SOURCE,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QA_QC
11, ,D0307, ,POINT,UNCLASSIFIED,FEDEX - PORT ANGELES,360,417-3433,1402-I FAIRCHILD INTERNATIONAL AIRPORT ROAD, ,PORT ANGELES,WA,98363,9502,CLALLAM,53009,LOCATED ON THE NORTH SIDE OF FAIRCHILD INTERNATIONAL AIRPORT ROAD .47 MILES NORTHWEST OF THE FAIRCHILD INTERNATIONAL AIRPORT ROAD AND SOUTH L STREET INTERSECTION., , , ,2006/09/25 00:00:00+00,PHONE,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 112443557,TGS,-123.49247,48.11612,NAVTEQ,2006Q2,BLOCKFACE, ,TGS
12, ,G1038, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - WEST SACRAMENTO,800,742-5877,1380 SHORE STREET, ,WEST SACRAMENTO,CA,95691,3522,YOLO,06113, , , , ,2006/09/21 00:00:00+00,WEB,2006/09/21 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  24475729,TGS,-121.54672,38.57137,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
13, ,B0127, ,POINT,UNCLASSIFIED,CON-WAY FREIGHT - TACOMA,253,926-2251,7211 28TH STREET EAST, ,FIFE,WA,98424, ,PIERCE,53053,SOUTH SIDE OF 28TH STREET EAST APPROXIMATELY .14 MILES EAST FROM THE INTERSECTION OF 70TH AVENUE EAST, , , ,2006/09/11 00:00:00+00,PHONE,2006/09/11 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",484122,"GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS-THAN-TRUCKLOAD (LTL)",  31352649,TGS,-122.33359,47.23134,NAVTEQ,2006Q2,BLOCKFACE,YES,TGS
14, ,C0327, ,POINT,UNCLASSIFIED,DHL EXPRESS - KENT,800,225-5345,6835 SOUTH 212TH STREET, ,KENT,WA,98032,2342,KING,53033, , , , ,2006/09/21 00:00:00+00,WEB,2006/09/21 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21073749,TGS,-122.24702,47.41192,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
15, ,C0333, ,POINT,UNCLASSIFIED,DHL EXPRESS - LONGVIEW,800,225-5345,104 CATLIN STREET, ,KELSO,WA,98626,1302,COWLITZ,53015, , , , ,2006/09/25 00:00:00+00,WEB,2006/09/19 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  86327480,TGS,-122.91688,46.14512,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
16, ,G0225, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - YREKA,800,742-5877,1535 LUCAS RD, ,YREKA,CA,96097,9405,SISKIYOU,06093, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  91462059,TGS,-122.64625,41.71109,NAVTEQ,2006Q2,BLOCKFACE, , 
17, ,C0328, ,POINT,UNCLASSIFIED,DHL EXPRESS - SEATTLE,800,225-5345,4450 EAST MARGINAL WAY SOUTH, ,SEATTLE,WA,98134,1117,KING,53033, , , , ,2006/09/19 00:00:00+00,WEB,2006/09/19 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21269725,TGS,-122.33896,47.56332,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
18, ,G0583, ,POINT,UNCLASSIFIED,UPS CUSTOMER CENTER - PORT ANGELES,800,742-5877,3216 EAST UNITED STATES HIGHWAY 101, ,PORT ANGELES,WA,98362, ,CLALLAM,53009, , , , ,2006/09/25 00:00:00+00,WEB,2006/09/25 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  87442480,TGS,-123.36785,48.10589,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
19, ,D0519, ,POINT,UNCLASSIFIED,FEDEX - TACOMA,800,463-3339,2503 FRANK ALBERT ROAD, ,TACOMA,WA,98424,2768,PIERCE,53053, , , , ,2006/09/22 00:00:00+00,WEB,2006/09/22 00:00:00+00,MANUAL,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)", 124459276,TGS,-122.36694,47.23368,NAVTEQ,2006Q2,BLOCKFACE,NO,TGS
20, ,C0326, ,POINT,UNCLASSIFIED,DHL EXPRESS - BOTHELL, , ,2200 222ND STREET SE, ,BOTHELL,WA,98021,4400,SNOHOMISH,53061, , , , ,, ,2006/08/23 00:00:00+00,AUTO,"IMPORTANT INDUSTRY, MAIL AND SHIPPING, MAIL AND SHIPPING, PRIVATE AND EXPRESS SHIPPING FACILITIES",492110,"COURIER SERVICES (I.E., INTERCITY NETWORK)",  21019776,TGS,-122.20314,47.79636,NAVTEQ,2006Q2,BLOCKFACE, , 
